nombretitulo,institucion,niveltitulo
PSICOLOGA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN ORTODONCIA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
PSICOLOGA MENCION CLINICA EDUCATIVA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
PSICOLOGO,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MEDICO TRAUMATOLOGO ORTOPEDISTA,PEOPLES FRIENDSHIP UNIVERSITY OF RUSSIA,CUARTO NIVEL
LICENCIADO EN NUTRICION HUMANA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
MEDICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN NUTRICION HUMANA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DEL PACIFICO ESCUELA DE NEGOCIOS,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN IMPLANTOLOGIA BUCO MAXILOFACIAL,UNIVERSIDAD ANDRES BELLO,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
SEGUNDA ESPECIALIDAD EN ORTODONCIA Y ORTOPEDIA MAXILAR,UNIVERSIDAD DE SAN MARTÍN DE PORRES,CUARTO NIVEL
OBSTETRA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MEDICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GERENCIA DE SEGURIDAD Y SALUD EN EL TRABAJO,ESCUELA SUPERIOR POLITECNICA DEL LITORAL,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
TECNOLOGA MEDICA EN DIETETICA Y NUTRICION,UNIVERSIDAD DE GUAYAQUIL,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
PSICOLOGA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
DOCTORA EN MEDICINA,UNIVERSIDAD EVANGÉLICA DE EL SALVADOR,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA,ESCUELA POLITECNICA DEL EJERCITO,CUARTO NIVEL
LICENCIADO/A EN FONOAUDIOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN ENFERMERIA QUIRURGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
MAGISTER EN EPIDEMIOLOGIA Y SALUD COLECTIVA,UNIVERSIDAD ANDINA SIMON BOLIVAR,CUARTO NIVEL
MASTER UNIVERSITARIO EN INTERVENCION PSICOLOGICA EN NIÑOS Y ADOLESCENTES,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MAGISTER EN CUIDADOS PALIATIVOS,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,CUARTO NIVEL
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
LICENCIADA EN FISIOTERAPIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADA EN ATENCION PREHOSPITALARIA Y EN EMERGENCIAS,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN ORTODONCIA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
TERAPEUTA OCUPACIONAL,UNIVERSIDAD MARIANA,TERCER NIVEL
ESPECIALISTA EN SALUD OCUPACIONAL E HIGIENE DEL AMBIENTE LABORAL,UNIVERSIDAD DE CARABOBO,CUARTO NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
ESPECIALISTA EN ORTODONCIA,UNIVERSIDAD UTE,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
PSICOLOGA MENCION CLINICO,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADO EN TERAPIA FISICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN GESTION DEL CUIDADO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
ESPECIALIZACAO EM ORTODONTIA,SAO LEOPOLDO MANDIC,CUARTO NIVEL
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALISTA EN INSTRUMENTACION Y GESTION DE CENTROS QUIRURGICOS,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TÉCNICO SUPERIOR LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
MEDICA CIRUJANA,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES ROMULO GALLEGOS,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADA EN TERAPIA FISICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN ENFERMERIA EN PERINEONATOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN PATOLOGIA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN PSICOPATOLOGIA Y PSICOANALISIS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO EN BIOANALISIS,UNIVERSIDAD DE CARABOBO,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO COMPU SUR,TERCER NIVEL
OPTOMETRISTA,UNIVERSIDAD METROPOLITANA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MEDICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
PSICOLOGO,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO COMPU SUR,TERCER NIVEL
ESPECIALISTA EN ONCOLOGIA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
PSICOLOGA MENCION CLINICO,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN MEDICINA FORENSE,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD PUBLICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN KINESIOLOGIA Y FISIOTERAPIA,UNIVERSIDAD NACIONAL DE CORDOBA,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO E HISTOTECNOLOGICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA DE CUIDADOS CRITICOS,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO E HISTOTECNOLOGICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
MAGISTER EN CIENCIAS PSICOLOGICAS CON MENCION EN PSICOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN NUTRICION Y DIETETICA,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
LICENCIADO EN ATENCION PREHOSPITALARIA Y EN EMERGENCIAS,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
LICENCIADA EN NUTRICION HUMANA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGA MENCION CLINICO,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADA EN TERAPIA FISICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN GERENCIA Y PLANIFICACION ESTRATEGICA EN SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
"ESPECIALISTA EN ANESTESIOLOGIA, REANIMACION Y TERAPIA DEL DOLOR",PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN GERENCIA EN SALUD PARA EL DESARROLLO LOCAL,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
DIPLOMA SUPERIOR EN DESARROLLO LOCAL Y SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ESPECIALISTA EN REHABILITACION ORAL Y PROTESIS IMPLANTO ASISTIDA,UNIVERSIDAD UTE,CUARTO NIVEL
LICENCIADA EN NUTRICION HUMANA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
MEDICO GENERAL,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,TERCER NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
MAGISTER EN PSICOLOGIA MENCION EN ASESORIA Y TERAPIA FAMILIAR SISTEMICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
"MAGISTER EN PSICOLOGIA CLINICA MENCION EN SALUD MENTAL PARA NIÑOS, ADULTOS Y FAMILIAS",UNIVERSIDAD SAN FRANCISCO DE QUITO,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO COMPU SUR,TERCER NIVEL
BIOQUIMICA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADA EN TERAPIA DEL LENGUAJE,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN NUTRICION Y DIETETICA,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,UNIVERSIDAD METROPOLITANA,TERCER NIVEL
LICENCIADO EN RADIOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
LICENCIADO/A EN NUTRICION Y DIETETICA,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,TERCER NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN TERAPIA FISICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNOLOGICA INDOAMERICA,TERCER NIVEL
LICENCIADO EN FISIOTERAPIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
PSICOLOGO,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
BIOQUIMICO CLINICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
ESPECIALISTA EN TOXICOLOGIA LABORAL,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
PSICOLOGO CLINICO,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
MAGISTER EN NEUROCIENCIAS MENCION EN NEUROCIENCIA Y EDUCACION,UNIVERSIDAD TECNOLOGICA INDOAMERICA,CUARTO NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
LICENCIADA EN NUTRICION Y DIETETICA,UNIVERSIDAD DE LOS ANDES,TERCER NIVEL
MAGISTER EN EPIDEMIOLOGIA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
MAGISTER EN BIOMEDICINA,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
MAGISTER EN BIOETICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA DE PRIMER GRADO EN MEDICINA GENERAL INTEGRAL,ESCUELA LATINOAMERICANA DE MEDICINA,CUARTO NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
ESPECIALISTA EN CIRUGIA TRAUMATOLOGIA Y ORTOPEDICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
DIPLOMA SUPERIOR EN DESARROLLO LOCAL Y SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN NUTRICION CLINICA,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN PSICOPATOLOGIA Y PSICOANALISIS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN ONCOLOGIA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA DE ANGIOLOGIA Y CIRUGIA VASCULAR,HOSPITAL GENERAL UNIVERSITARIO GREGORIO MARAÑON,CUARTO NIVEL
TECNOLOGO EN EMERGENCIAS MEDICAS,INSTITUTO TECNOLÓGICO SUPERIOR CRUZ ROJA ECUATORIANA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
PSICOLOGO CLINICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MAGISTER EN GERENCIAL HOSPITALARIA,UNIVERSIDAD DE LAS FUERZAS ARMADAS (ESPE),CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
MAGISTER EN SEGURIDAD INDUSTRIAL MENCION PREVENCION DE RIESGOS Y SALUD OCUPACIONAL,UNIVERSIDAD NACIONAL DE CHIMBORAZO,CUARTO NIVEL
ESPECIALIZACAO EM ORTODONTIA,FACULDADE DO CENTRO OESTE PAULISTA FACOP,CUARTO NIVEL
TECNOLOGO EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD EUROPEA DE MADRID,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
TECNICO/A SUPERIOR EN ENFERMERIA,UNIVERSIDAD METROPOLITANA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ASISTENTE DENTAL,UNIVERSIDAD CENTRAL DEL ECUADOR,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN ENFERMERIA EN TRAUMA Y EMERGENCIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN PODOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,TERCER NIVEL
TECNOLOGO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,TERCER NIVEL
